  Reactions   	  Enzymes of a reaction  	  Object ID  	  Object ID  	  Reaction-Direction  	  Substrates  	  Left  	  Right  
(7Z)-tetradecenoyl-CoA + an oxidized electron-transfer flavoprotein + H+→ (2E,7Z)-tetradecenoyl-CoA + a reduced electron-transfer flavoprotein	"putative enoyl-CoA reductase
acyl-CoA dehydrogenase"	"G6918-MONOMER
ACYLCOADEHYDROG-MONOMER"	RXN-17792	PHYSIOL-RIGHT-TO-LEFT	"a reduced electron-transfer flavoprotein
(2E,7Z)-tetradecenoyl-CoA
(7Z)-tetradecenoyl-CoA
an oxidized electron-transfer flavoprotein
H+"	"(2E,7Z)-tetradecenoyl-CoA
a reduced electron-transfer flavoprotein"	"(7Z)-tetradecenoyl-CoA
an oxidized electron-transfer flavoprotein
H+"
(8S)-3',8-cyclo-7,8-dihydroguanosine 5'-triphosphate → cyclic pyranopterin phosphate + diphosphate	cyclic pyranopterin monophosphate synthase	CPLX-8331	RXN-17809	LEFT-TO-RIGHT	"(8S)-3',8-cyclo-7,8-dihydroguanosine 5'-triphosphate
cyclic pyranopterin phosphate
diphosphate"	(8S)-3',8-cyclo-7,8-dihydroguanosine 5'-triphosphate	"cyclic pyranopterin phosphate
diphosphate"
(deoxynucleotides)(n)+ H2O → (deoxynucleotides)(n-1)+ a 2'-deoxyribonucleoside 5'-monophosphate	exonuclease III	EG11073-MONOMER	3.1.11.2-RXN	PHYSIOL-LEFT-TO-RIGHT	"H2O
DNAn
a 2'-deoxyribonucleoside 5'-monophosphate"	"DNAn
H2O"	"DNAn
a 2'-deoxyribonucleoside 5'-monophosphate"
(E)-4-hydroxy-3-methylbut-2-en-1-yl diphosphate + 2 a reduced ferredoxin [iron-sulfur] cluster + 2 H+→ dimethylallyl diphosphate + 2 an oxidized ferredoxin [iron-sulfur] cluster + H2O	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase	CPLX0-7564	RXN0-884	RIGHT-TO-LEFT	"H2O
an oxidized ferredoxin [iron-sulfur] cluster
dimethylallyl diphosphate
(E)-4-hydroxy-3-methylbut-2-en-1-yl diphosphate
a reduced ferredoxin [iron-sulfur] cluster
H+"	"dimethylallyl diphosphate
an oxidized ferredoxin [iron-sulfur] cluster
H2O"	"(E)-4-hydroxy-3-methylbut-2-en-1-yl diphosphate
a reduced ferredoxin [iron-sulfur] cluster
H+"
(E)-4-hydroxy-3-methylbut-2-en-1-yl diphosphate + 2 a reduced ferredoxin [iron-sulfur] cluster + 2 H+→ isopentenyl diphosphate + 2 an oxidized ferredoxin [iron-sulfur] cluster + H2O	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase	CPLX0-7564	ISPH2-RXN	RIGHT-TO-LEFT	"H2O
an oxidized ferredoxin [iron-sulfur] cluster
isopentenyl diphosphate
(E)-4-hydroxy-3-methylbut-2-en-1-yl diphosphate
a reduced ferredoxin [iron-sulfur] cluster
H+"	"isopentenyl diphosphate
an oxidized ferredoxin [iron-sulfur] cluster
H2O"	"(E)-4-hydroxy-3-methylbut-2-en-1-yl diphosphate
a reduced ferredoxin [iron-sulfur] cluster
H+"
(enterobacterial common antigen)-undecaprenyl diphosphate[cytosol]→ (enterobacterial common antigen)-undecaprenyl diphosphate[periplasm]	lipid III flippase	EG11486-MONOMER	TRANS-RXN0-279	LEFT-TO-RIGHT	(enterobacterial common antigen)-undecaprenyl diphosphate	(enterobacterial common antigen)-undecaprenyl diphosphate	(enterobacterial common antigen)-undecaprenyl diphosphate
(polyphosphate)(n)+ H2O → (polyphosphate)(n-1)+ phosphate	exopolyphosphatase	PPX-CPLX	EXOPOLYPHOSPHATASE-RXN	LEFT-TO-RIGHT	"H2O
long chain polyphosphate
phosphate"	"long chain polyphosphate
H2O"	"long chain polyphosphate
phosphate"
(R)-2,3-dihydroxy-3-methylpentanoate → (S)-3-methyl-2-oxopentanoate + H2O	dihydroxy-acid dehydratase	DIHYDROXYACIDDEHYDRAT-CPLX	DIHYDROXYMETVALDEHYDRAT-RXN	LEFT-TO-RIGHT	"(R)-2,3-dihydroxy-3-methylpentanoate
(S)-3-methyl-2-oxopentanoate
H2O"	(R)-2,3-dihydroxy-3-methylpentanoate	"(S)-3-methyl-2-oxopentanoate
H2O"
(R)-2-hydroxyglutarate + NAD+↔ 2-oxoglutarate + NADH + H+	phosphoglycerate dehydrogenase	PGLYCDEHYDROG-CPLX	KETOGLUTREDUCT-RXN	REVERSIBLE	"NAD+
(R)-2-hydroxyglutarate
2-oxoglutarate
NADH
H+"	"(R)-2-hydroxyglutarate
NAD+"	"2-oxoglutarate
NADH
H+"
(R)-3-hydroxy-cis-vacc-11-enoyl-[acp] → a (2-trans-11-cis)-vaccen-2-enoyl-[acp] + H2O	3-hydroxy-acyl-[acyl-carrier-protein] dehydratase	FABZ-CPLX	RXN-9557	LEFT-TO-RIGHT	"(R)-3-hydroxy-cis-vacc-11-enoyl-[acp]
a (2-trans-11-cis)-vaccen-2-enoyl-[acp]
H2O"	(R)-3-hydroxy-cis-vacc-11-enoyl-[acp]	"a (2-trans-11-cis)-vaccen-2-enoyl-[acp]
H2O"
(R)-4'-phosphopantothenate + L-cysteine + CTP → CMP + R-4'-phosphopantothenoyl-L-cysteine + diphosphate + H+	fused 4'-phosphopantothenoylcysteine decarboxylase and phosphopantothenoylcysteine synthetase	CPLX0-341	P-PANTOCYSLIG-RXN	PHYSIOL-LEFT-TO-RIGHT	"CTP
L-cysteine
(R)-4'-phosphopantothenate
H+
diphosphate
CMP
R-4'-phosphopantothenoyl-L-cysteine"	"(R)-4'-phosphopantothenate
L-cysteine
CTP"	"H+
diphosphate
CMP
R-4'-phosphopantothenoyl-L-cysteine"
(R)-lactaldehyde + NADPH + H+→ (R)-propane-1,2-diol + NADP+	"NADPH-dependent aldehyde reductase
aldehyde reductase, NADPH-dependent
aldehyde reductase, NADPH-dependent
NADP+-dependent aldehyde reductase"	"CPLX0-7667
G6190-MONOMER
EG11436-MONOMER
G6269-MONOMER"	RXN-15743	PHYSIOL-RIGHT-TO-LEFT	"NADP+
(R)-propane-1,2-diol
(R)-lactaldehyde
NADPH
H+"	"(R)-propane-1,2-diol
NADP+"	"(R)-lactaldehyde
NADPH
H+"
(R)-lactate + a ubiquinone[inner membrane]→ pyruvate + an ubiquinol[inner membrane]	D-lactate dehydrogenase	DLACTDEHYDROGFAD-MONOMER	DLACTDEHYDROGFAD-RXN	LEFT-TO-RIGHT	"(R)-lactate
a ubiquinone
an ubiquinol
pyruvate"	"a ubiquinone
(R)-lactate"	"an ubiquinol
pyruvate"
(R)-lactate[periplasm]+ H+[periplasm]↔ (R)-lactate[cytosol]+ H+[cytosol]	"glycolate/lactate:H+symporter
(R)-lactate/(S)-lactate/glycolate:H+ symporter LldP"	"B2975-MONOMER
LCTP-MONOMER"	TRANS-RXN0-515	REVERSIBLE	"(R)-lactate
H+"	"(R)-lactate
H+"	"(R)-lactate
H+"
(R)-lipoate[periplasm]→ (R)-lipoate[cytosol]			TRANS-RXN0-278	LEFT-TO-RIGHT	(R)-lipoate	(R)-lipoate	(R)-lipoate
(R)-malate + NAD+→ CO2+ pyruvate + NADH	D-malate/3-isopropylmalate dehydrogenase (decarboxylating)	G6986-MONOMER	1.1.1.83-RXN	LEFT-TO-RIGHT	"(R)-malate
NAD+
NADH
CO2
pyruvate"	"NAD+
(R)-malate"	"NADH
CO2
pyruvate"
(R)-malate[periplasm]+ 2 H+[periplasm]→ (R)-malate[cytosol]+ 2 H+[cytosol]	C4 dicarboxylate/orotate:H+symporter	DCTA-MONOMER	TRANS-RXN0-451	LEFT-TO-RIGHT	"(R)-malate
H+"	"(R)-malate
H+"	"(R)-malate
H+"
(R)-methylmalonyl-CoA ↔ (S)-methylmalonyl-CoA	methylmalonyl-CoA epimerase	METHYLMALONYL-COA-EPIM-MONOMER	METHYLMALONYL-COA-EPIM-RXN	REVERSIBLE	"(R)-methylmalonyl-CoA
(S)-methylmalonyl-CoA"	(R)-methylmalonyl-CoA	(S)-methylmalonyl-CoA
(R)-methylmalonyl-CoA ↔ succinyl-CoA	methylmalonyl-CoA mutase	CPLX0-7741	METHYLMALONYL-COA-MUT-RXN	REVERSIBLE	"(R)-methylmalonyl-CoA
succinyl-CoA"	(R)-methylmalonyl-CoA	succinyl-CoA
(R)-methylmalonyl-CoA + H+→ propanoyl-CoA + CO2	methylmalonyl-CoA decarboxylase	CPLX0-254	RXN0-310	LEFT-TO-RIGHT	"(R)-methylmalonyl-CoA
H+
propanoyl-CoA
CO2"	"H+
(R)-methylmalonyl-CoA"	"propanoyl-CoA
CO2"
(R)-NADHX → (S)-NADHX	NAD(P)HX epimerase / NAD(P)HX dehydratase	EG11758-MONOMER	RXN-12752	PHYSIOL-LEFT-TO-RIGHT	"(R)-NADHX
(S)-NADHX"	(R)-NADHX	(S)-NADHX
(R)-NADPHX → (S)-NADPHX	NAD(P)HX epimerase / NAD(P)HX dehydratase	EG11758-MONOMER	RXN-13142	PHYSIOL-LEFT-TO-RIGHT	"(R)-NADPHX
(S)-NADPHX"	(R)-NADPHX	(S)-NADPHX
(R)-pantolactone + NADP+↔ 2-dehydropantolactone + NADPH + H+	2-dehydropantoyl-lactone reductase	DEHYDROPANTLACRED-MONOMER	1.1.1.168-RXN	REVERSIBLE	"NADP+
(R)-pantolactone
2-dehydropantolactone
NADPH
H+"	"(R)-pantolactone
NADP+"	"2-dehydropantolactone
NADPH
H+"
(R)-pantothenate + ATP → (R)-4'-phosphopantothenate + ADP + H+	pantothenate kinase	PANTOTHENATE-KIN-CPLX	PANTOTHENATE-KIN-RXN	LEFT-TO-RIGHT	"ATP
(R)-pantothenate
H+
(R)-4'-phosphopantothenate
ADP"	"(R)-pantothenate
ATP"	"H+
(R)-4'-phosphopantothenate
ADP"
(R)-propane-1,2-diol[cytosol]→ (R)-propane-1,2-diol[periplasm]			TRANS-RXN0-467	LEFT-TO-RIGHT	(R)-propane-1,2-diol	(R)-propane-1,2-diol	(R)-propane-1,2-diol
(R)-S-lactoylglutathione + H2O → glutathione + (R)-lactate + H+	"hydroxyacylglutathione hydrolase GloC
S-formylglutathione hydrolase / S-lactoylglutathione hydrolase
hydroxyacylglutathione hydrolase GloB"	"G6475-MONOMER
CPLX0-3954
GLYOXII-MONOMER"	GLYOXII-RXN	PHYSIOL-LEFT-TO-RIGHT	"H2O
(R)-S-lactoylglutathione
H+
glutathione
(R)-lactate"	"(R)-S-lactoylglutathione
H2O"	"H+
glutathione
(R)-lactate"
(S)-(+)-allantoin + H2O → allantoate + H+	allantoinase	CPLX-64	ALLANTOINASE-RXN	LEFT-TO-RIGHT	"H2O
(S)-(+)-allantoin
H+
allantoate"	"(S)-(+)-allantoin
H2O"	"H+
allantoate"
(S)-(+)-allantoin[periplasm]→ (S)-(+)-allantoin[cytosol]			TRANS-RXN0-444	LEFT-TO-RIGHT	(S)-(+)-allantoin	(S)-(+)-allantoin	(S)-(+)-allantoin
(S)-1-pyrroline-5-carboxylate + H++ H2O ↔ L-glutamate-5-semialdehyde			SPONTPRO-RXN	REVERSIBLE	"(S)-1-pyrroline-5-carboxylate
H2O
H+
L-glutamate-5-semialdehyde"	"H+
H2O
(S)-1-pyrroline-5-carboxylate"	L-glutamate-5-semialdehyde
(S)-1-pyrroline-5-carboxylate + NAD(P)H + 2 H+→ L-proline + NAD(P)+	pyrroline-5-carboxylate reductase	PYRROLINECARBREDUCT-CPLX	PYRROLINECARBREDUCT-RXN	RIGHT-TO-LEFT	"L-proline
NAD(P)+
NAD(P)H
(S)-1-pyrroline-5-carboxylate
H+"	"NAD(P)+
L-proline"	"NAD(P)H
(S)-1-pyrroline-5-carboxylate
H+"
(S)-1-pyrroline-5-carboxylate + NAD++ 2 H2O → L-glutamate + NADH + H+	PutA DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase	PUTA-CPLX	PYRROLINECARBDEHYDROG-RXN	IRREVERSIBLE-LEFT-TO-RIGHT	"H2O
NAD+
(S)-1-pyrroline-5-carboxylate
H+
L-glutamate
NADH"	"(S)-1-pyrroline-5-carboxylate
NAD+
H2O"	"H+
L-glutamate
NADH"
(S)-1-pyrroline-5-carboxylate[in]+ 3 H+[in]+ 2 e-[membrane]→ L-proline[in]	PutA DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase	PUTA-CPLX	RXN0-7005	LEFT-TO-RIGHT	"H+
E-
(S)-1-pyrroline-5-carboxylate
L-proline"	"(S)-1-pyrroline-5-carboxylate
E-
H+"	L-proline
(S)-2,3,4,5-tetrahydrodipicolinate + H++ H2O ↔ L-α-amino-ε-keto-pimelate			RXN-4821	REVERSIBLE	"H2O
(S)-2,3,4,5-tetrahydrodipicolinate
H+
L-α-amino-ε-keto-pimelate"	"H+
(S)-2,3,4,5-tetrahydrodipicolinate
H2O"	L-α-amino-ε-keto-pimelate
(S)-2,3,4,5-tetrahydrodipicolinate + succinyl-CoA + H2O → N-succinyl-2-amino-6-ketopimelate + coenzyme A	tetrahydrodipicolinate succinylase	CPLX0-3181	TETHYDPICSUCC-RXN	LEFT-TO-RIGHT	"succinyl-CoA
(S)-2,3,4,5-tetrahydrodipicolinate
H2O
N-succinyl-2-amino-6-ketopimelate
coenzyme A"	"H2O
(S)-2,3,4,5-tetrahydrodipicolinate
succinyl-CoA"	"N-succinyl-2-amino-6-ketopimelate
coenzyme A"
(S)-2-aceto-2-hydroxybutanoate + NADPH + H+→ (R)-2,3-dihydroxy-3-methylpentanoate + NADP+	acetohydroxy acid isomeroreductase	CPLX0-7643	ACETOOHBUTREDUCTOISOM-RXN	PHYSIOL-RIGHT-TO-LEFT	"NADP+
(R)-2,3-dihydroxy-3-methylpentanoate
H+
(S)-2-aceto-2-hydroxybutanoate
NADPH"	"(R)-2,3-dihydroxy-3-methylpentanoate
NADP+"	"H+
(S)-2-aceto-2-hydroxybutanoate
NADPH"
(S)-2-acetolactate + an oxidized electron acceptor + H+→ diacetyl + CO2+ a reduced electron acceptor			RXN-6081	LEFT-TO-RIGHT	"H+
an oxidized electron acceptor
(S)-2-acetolactate
diacetyl
CO2
a reduced electron acceptor"	"(S)-2-acetolactate
an oxidized electron acceptor
H+"	"diacetyl
CO2
a reduced electron acceptor"
(S)-2-hydroxybutanoate + an electron-transfer quinone[inner membrane]→ 2-oxobutanoate + an electron-transfer quinol[inner membrane]	L-lactate dehydrogenase	L-LACTDEHYDROGFMN-MONOMER	RXN0-7227	PHYSIOL-LEFT-TO-RIGHT	"(S)-2-hydroxybutanoate
an electron-transfer quinone
an electron-transfer quinol
2-oxobutanoate"	"an electron-transfer quinone
(S)-2-hydroxybutanoate"	"an electron-transfer quinol
2-oxobutanoate"
(S)-2-hydroxybutanoate[periplasm]+ H+[periplasm]→ (S)-2-hydroxybutanoate[cytosol]+ H+[cytosol]	"glycolate/lactate:H+symporter
(R)-lactate/(S)-lactate/glycolate:H+ symporter LldP"	"B2975-MONOMER
LCTP-MONOMER"	TRANS-RXN0-622	PHYSIOL-LEFT-TO-RIGHT	"(S)-2-hydroxybutanoate
H+"	"(S)-2-hydroxybutanoate
H+"	"(S)-2-hydroxybutanoate
H+"
(S)-2-hydroxyglutarate + NAD+↔ 2-oxoglutarate + NADH + H+	phosphoglycerate dehydrogenase	PGLYCDEHYDROG-CPLX	RXN-16701	REVERSIBLE	"NAD+
(S)-2-hydroxyglutarate
2-oxoglutarate
NADH
H+"	"(S)-2-hydroxyglutarate
NAD+"	"2-oxoglutarate
NADH
H+"
(S)-2-hydroxyglutarate + oxygen → 2-oxoglutarate + hydrogen peroxide	L-2-hydroxyglutarate oxidase	EG12387-MONOMER	RXN0-5364	PHYSIOL-LEFT-TO-RIGHT	"oxygen
(S)-2-hydroxyglutarate
2-oxoglutarate
hydrogen peroxide"	"(S)-2-hydroxyglutarate
oxygen"	"2-oxoglutarate
hydrogen peroxide"
(S)-2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline + H+= (S)-(+)-allantoin + CO2			RXN-6201		"(S)-2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline
H+
(S)-(+)-allantoin
CO2"	"H+
(S)-2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline"	"(S)-(+)-allantoin
CO2"
(S)-3-hydroxy-(11Z)-octadecenoyl-CoA + NAD+→ 3-oxo-(11Z)-octadecenoyl-CoA + NADH + H+	"3-hydroxyacyl-CoA dehydrogenase FadJ
fatty acid oxidation complex, α component"	"G7212-MONOMER
FADB-CPLX"	RXN-17786	PHYSIOL-RIGHT-TO-LEFT	"H+
NADH
3-oxo-(11Z)-octadecenoyl-CoA
(S)-3-hydroxy-(11Z)-octadecenoyl-CoA
NAD+"	"3-oxo-(11Z)-octadecenoyl-CoA
NADH
H+"	"(S)-3-hydroxy-(11Z)-octadecenoyl-CoA
NAD+"
(S)-3-hydroxy-(5Z)-dodecenoyl-CoA + NAD+→ 3-oxo-(5Z)-dodecenoyl-CoA + NADH + H+	"3-hydroxyacyl-CoA dehydrogenase FadJ
fatty acid oxidation complex, α component"	"G7212-MONOMER
FADB-CPLX"	RXN-17798	PHYSIOL-RIGHT-TO-LEFT	"H+
NADH
3-oxo-(5Z)-dodecenoyl-CoA
(S)-3-hydroxy-(5Z)-dodecenoyl-CoA
NAD+"	"3-oxo-(5Z)-dodecenoyl-CoA
NADH
H+"	"(S)-3-hydroxy-(5Z)-dodecenoyl-CoA
NAD+"
(S)-3-hydroxy-(5Z)-tetradecenoyl-CoA + NAD+↔ 3-oxo-(5Z)-tetradecenoyl-CoA + NADH + H+	"fatty acid oxidation complex, α component
3-hydroxyacyl-CoA dehydrogenase FadJ"	"FADB-CPLX
G7212-MONOMER"	RXN-14393	REVERSIBLE	"NAD+
(S)-3-hydroxy-(5Z)-tetradecenoyl-CoA
3-oxo-(5Z)-tetradecenoyl-CoA
NADH
H+"	"(S)-3-hydroxy-(5Z)-tetradecenoyl-CoA
NAD+"	"3-oxo-(5Z)-tetradecenoyl-CoA
NADH
H+"
(S)-3-hydroxy-(7Z)-hexadecenoyl-CoA + NAD+→ 3-oxo-(7Z)-hexadecenoyl-CoA + NADH + H+	"3-hydroxyacyl-CoA dehydrogenase FadJ
fatty acid oxidation complex, α component"	"G7212-MONOMER
FADB-CPLX"	RXN-17781	PHYSIOL-RIGHT-TO-LEFT	"H+
NADH
3-oxo-(7Z)-hexadecenoyl-CoA
(S)-3-hydroxy-(7Z)-hexadecenoyl-CoA
NAD+"	"3-oxo-(7Z)-hexadecenoyl-CoA
NADH
H+"	"(S)-3-hydroxy-(7Z)-hexadecenoyl-CoA
NAD+"
(S)-3-hydroxy-(7Z)-tetradecenoyl-CoA + NAD+→ 3-oxo-(7Z)-tetradecenoyl-CoA + NADH + H+	"3-hydroxyacyl-CoA dehydrogenase FadJ
fatty acid oxidation complex, α component"	"G7212-MONOMER
FADB-CPLX"	RXN-17794	PHYSIOL-RIGHT-TO-LEFT	"H+
NADH
3-oxo-(7Z)-tetradecenoyl-CoA
(S)-3-hydroxy-(7Z)-tetradecenoyl-CoA
NAD+"	"3-oxo-(7Z)-tetradecenoyl-CoA
NADH
H+"	"(S)-3-hydroxy-(7Z)-tetradecenoyl-CoA
NAD+"
(S)-3-hydroxy-(9Z)-hexadecenoyl-CoA + NAD+→ 3-oxo-(9Z)-hexadecenoyl-CoA + NADH + H+	"3-hydroxyacyl-CoA dehydrogenase FadJ
fatty acid oxidation complex, α component"	"G7212-MONOMER
FADB-CPLX"	RXN-17790	PHYSIOL-RIGHT-TO-LEFT	"H+
NADH
3-oxo-(9Z)-hexadecenoyl-CoA
(S)-3-hydroxy-(9Z)-hexadecenoyl-CoA
NAD+"	"3-oxo-(9Z)-hexadecenoyl-CoA
NADH
H+"	"(S)-3-hydroxy-(9Z)-hexadecenoyl-CoA
NAD+"
(S)-3-hydroxy-(9Z)-octadecenoyl-CoA + NAD+→ 3-oxo-(9Z)-octadecenoyl-CoA + NADH + H+	"fatty acid oxidation complex, α component
3-hydroxyacyl-CoA dehydrogenase FadJ"	"FADB-CPLX
G7212-MONOMER"	RXN-17777	PHYSIOL-LEFT-TO-RIGHT	"(S)-3-hydroxy-(9Z)-octadecenoyl-CoA
NAD+
NADH
H+
3-oxo-(9Z)-octadecenoyl-CoA"	"NAD+
(S)-3-hydroxy-(9Z)-octadecenoyl-CoA"	"NADH
H+
3-oxo-(9Z)-octadecenoyl-CoA"
(S)-3-hydroxybutanoyl-CoA + H2O → (S)-3-hydroxybutanoate + coenzyme A + H+	"acyl-CoA thioesterase
acyl-CoA thioesterase II"	"EG11121-MONOMER
THIOESTERII-CPLX"	RXN-14251	LEFT-TO-RIGHT	"H2O
(S)-3-hydroxybutanoyl-CoA
(S)-3-hydroxybutanoate
coenzyme A
H+"	"(S)-3-hydroxybutanoyl-CoA
H2O"	"(S)-3-hydroxybutanoate
coenzyme A
H+"
(S)-4-amino-5-oxopentanoate → 5-aminolevulinate	glutamate-1-semialdehyde aminotransferase	GSAAMINOTRANS-CPLX	GSAAMINOTRANS-RXN	LEFT-TO-RIGHT	"(S)-4-amino-5-oxopentanoate
5-aminolevulinate"	(S)-4-amino-5-oxopentanoate	5-aminolevulinate
(S)-4-hydroxy-2-oxopentanoate → (2Z)-2,4-dihydroxypent-2-enoate			RXN-13460	LEFT-TO-RIGHT	"(S)-4-hydroxy-2-oxopentanoate
(2Z)-2,4-dihydroxypent-2-enoate"	(S)-4-hydroxy-2-oxopentanoate	(2Z)-2,4-dihydroxypent-2-enoate
(S)-4-hydroxy-2-oxopentanoate ↔ acetaldehyde + pyruvate	4-hydroxy-2-oxovalerate aldolase	MHPELY-MONOMER	MHPELY-RXN	REVERSIBLE	"(S)-4-hydroxy-2-oxopentanoate
acetaldehyde
pyruvate"	(S)-4-hydroxy-2-oxopentanoate	"acetaldehyde
pyruvate"
(S)-5-hydroxyisourate[periplasmic space]+ H2O[periplasmic space]→ (S)-2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline[periplasmic space]+ H+[periplasmic space]	hydroxyisourate hydrolase / transthyretin-related protein	CPLX0-3961	3.5.2.17-RXN	LEFT-TO-RIGHT	"H2O
(S)-5-hydroxyisourate
H+
(S)-2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline"	"(S)-5-hydroxyisourate
H2O"	"H+
(S)-2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline"
(S)-dihydroorotate + a menaquinone[inner membrane]→ orotate + a menaquinol[inner membrane]	dihydroorotate dehydrogenase, type 2	DIHYDROOROTOX-MONOMER	RXN0-6554	LEFT-TO-RIGHT	"a menaquinone
(S)-dihydroorotate
orotate
a menaquinol"	"(S)-dihydroorotate
a menaquinone"	"orotate
a menaquinol"
(S)-dihydroorotate + a ubiquinone[inner membrane]→ orotate + an ubiquinol[inner membrane]	dihydroorotate dehydrogenase, type 2	DIHYDROOROTOX-MONOMER	RXN0-6491	LEFT-TO-RIGHT	"a ubiquinone
(S)-dihydroorotate
orotate
an ubiquinol"	"(S)-dihydroorotate
a ubiquinone"	"orotate
an ubiquinol"
(S)-dihydroorotate + an electron-transfer quinone[inner membrane]→ orotate + an electron-transfer quinol[inner membrane]	dihydroorotate dehydrogenase, type 2	DIHYDROOROTOX-MONOMER	DIHYDROOROTATE-DEHYDROGENASE-RXN	LEFT-TO-RIGHT	"(S)-dihydroorotate
an electron-transfer quinone
an electron-transfer quinol
orotate"	"an electron-transfer quinone
(S)-dihydroorotate"	"an electron-transfer quinol
orotate"
(S)-dihydroorotate + H2O ↔ N-carbamoyl-L-aspartate + H+	dihydroorotase	DIHYDROOROT-CPLX	DIHYDROOROT-RXN	REVERSIBLE	"H2O
(S)-dihydroorotate
H+
N-carbamoyl-L-aspartate"	"(S)-dihydroorotate
H2O"	"H+
N-carbamoyl-L-aspartate"
(S)-lactaldehyde + NAD++ H2O → (S)-lactate + NADH + 2 H+	aldehyde dehydrogenase A, NAD-linked	ALD-CPLX	LACTALDDEHYDROG-RXN	LEFT-TO-RIGHT	"(S)-lactaldehyde
NAD+
H2O
H+
NADH
(S)-lactate"	"H2O
NAD+
(S)-lactaldehyde"	"H+
NADH
(S)-lactate"
(S)-lactaldehyde + NADPH + H+→ (S)-propane-1,2-diol + NADP+	"NADPH-dependent aldehyde reductase
aldehyde reductase, NADPH-dependent
aldehyde reductase, NADPH-dependent
NADP+-dependent aldehyde reductase"	"CPLX0-7667
G6190-MONOMER
EG11436-MONOMER
G6269-MONOMER"	RXN-15744	PHYSIOL-RIGHT-TO-LEFT	"NADP+
(S)-propane-1,2-diol
(S)-lactaldehyde
NADPH
H+"	"(S)-propane-1,2-diol
NADP+"	"(S)-lactaldehyde
NADPH
H+"
(S)-lactate + an electron-transfer quinone[inner membrane]→ pyruvate + an electron-transfer quinol[inner membrane]	L-lactate dehydrogenase	L-LACTDEHYDROGFMN-MONOMER	L-LACTDEHYDROGFMN-RXN	PHYSIOL-LEFT-TO-RIGHT	"(S)-lactate
an electron-transfer quinone
an electron-transfer quinol
pyruvate"	"an electron-transfer quinone
(S)-lactate"	"an electron-transfer quinol
pyruvate"
(S)-lactate[periplasm]+ H+[periplasm]→ (S)-lactate[cytosol]+ H+[cytosol]	"glycolate/lactate:H+symporter
(R)-lactate/(S)-lactate/glycolate:H+ symporter LldP"	"B2975-MONOMER
LCTP-MONOMER"	TRANS-RXN-104	LEFT-TO-RIGHT	"H+
(S)-lactate"	"H+
(S)-lactate"	"H+
(S)-lactate"
(S)-malate ↔ fumarate + H2O	"fumarase E
fumarase D
fumarase A
fumarase B
fumarase C"	"EG11162-MONOMER
G6903-MONOMER
FUMARASE-A
FUMARASE-B
FUMARASE-C"	FUMHYDR-RXN	REVERSIBLE	"(S)-malate
fumarate
H2O"	(S)-malate	"fumarate
H2O"
(S)-malate + an electron-transfer quinone[inner membrane]→ oxaloacetate + an electron-transfer quinol[inner membrane]	malate:quinone oxidoreductase	EG12069-MONOMER	MALATE-DEHYDROGENASE-ACCEPTOR-RXN	PHYSIOL-LEFT-TO-RIGHT	"(S)-malate
an electron-transfer quinone
an electron-transfer quinol
oxaloacetate"	"an electron-transfer quinone
(S)-malate"	"an electron-transfer quinol
oxaloacetate"
(S)-malate + NAD+→ CO2+ pyruvate + NADH	malate dehydrogenase, NAD-requiring	MALIC-NAD-CPLX	1.1.1.39-RXN	LEFT-TO-RIGHT	"(S)-malate
NAD+
NADH
CO2
pyruvate"	"NAD+
(S)-malate"	"NADH
CO2
pyruvate"
(S)-malate + NAD+↔ oxaloacetate + NADH + H+	malate dehydrogenase	MALATE-DEHASE	MALATE-DEH-RXN	REVERSIBLE	"NAD+
(S)-malate
H+
oxaloacetate
NADH"	"(S)-malate
NAD+"	"H+
oxaloacetate
NADH"
(S)-malate + NADP+→ CO2+ pyruvate + NADPH	malate dehydrogenase	MALIC-NADP-CPLX	MALIC-NADP-RXN	LEFT-TO-RIGHT	"(S)-malate
NADP+
NADPH
CO2
pyruvate"	"NADP+
(S)-malate"	"NADPH
CO2
pyruvate"
(S)-malate[periplasm]+ 2 H+[periplasm]→ (S)-malate[cytosol]+ 2 H+[cytosol]	C4 dicarboxylate/orotate:H+symporter	DCTA-MONOMER	TRANS-RXN-121A	LEFT-TO-RIGHT	"H+
(S)-malate"	"H+
(S)-malate"	"H+
(S)-malate"
(S)-NADPHX + ADP → AMP + NADPH + phosphate + H+	NAD(P)HX epimerase / NAD(P)HX dehydratase	EG11758-MONOMER	RXN-13141	LEFT-TO-RIGHT	"ADP
(S)-NADPHX
NADPH
AMP
phosphate
H+"	"(S)-NADPHX
ADP"	"NADPH
AMP
phosphate
H+"
